project,review_count,reviewer_count,acceptance_rate
openstack/cinder,35269,400,0.6381524851852902
openstack/neutron,27666,371,0.7191137135834599
openstack/nova,22906,442,0.5610320440059373
openstack/ironic,11369,213,0.7579382531445158
openstack/kolla,7891,219,0.7239893549613484
openstack/manila,5815,164,0.5234737747205503
openstack/octavia,5333,144,0.5655353459591225
openstack/openstack-helm,4703,226,0.603869870295556
openstack/openstack-ansible,4354,96,0.8027101515847497
openstack/horizon,3429,159,0.5928842228054827
openstack/swift,3377,121,0.7151317737636956
openstack/glance,3196,172,0.5632040050062578
openstack/keystone,2769,167,0.434814012278801
openstack/heat,2286,156,0.4886264216972878
openstack/magnum,2220,131,0.5261261261261261
openstack/designate,2006,113,0.7058823529411765
openstack/barbican,1186,73,0.3920741989881956
openstack/placement,815,39,0.5079754601226993
openstack/trove,549,61,0.6411657559198543
openstack/zun,207,38,0.6908212560386473
