domain,domain_type,total,correct,incorrect,accuracy
gmail.com,Personal (Gmail等),51,42,9,0.8235294117647058
redhat.com,Red Hat,41,36,5,0.8780487804878049
stackhpc.com,StackHPC,6,5,1,0.8333333333333334
tristero.net,Other Company,3,3,0,1.0
inspur.com,Other Company,3,2,1,0.6666666666666666
zte.com.cn,Other Company,3,2,1,0.6666666666666666
yovole.com,Other Company,3,3,0,1.0
canonical.com,Canonical,2,1,1,0.5
mirantis.com,Mirantis,2,2,0,1.0
dell.com,Dell,2,0,2,0.0
qq.com,Other Company,2,1,1,0.5
yadro.com,Other Company,2,2,0,1.0
huawei.com,Huawei,2,1,1,0.5
163.com,Other Company,2,2,0,1.0
binero.com,Other Company,1,1,0,1.0
