feature,rf_rank,importance,irl_rank,gradient,rank_change
最近の受諾率,1,0.1585687728085987,14,0.00011300397454760969,13
協力度,14,0.0,2,0.013101510470733047,-12
総レビュー数,12,0.023091699545972,1,0.016513020964339375,-11
レビュー負荷,4,0.0870962184676808,13,0.0010542691743467003,9
総コミット数,13,0.0147053575504665,5,0.007953135354910046,-8
協力スコア,2,0.116701902471443,9,0.004114681854844093,7
経験日数,6,0.0760498361236587,12,0.0026305208884878084,6
レビュー規模（行数）,5,0.0849545280677509,10,0.003400395144126378,5
コード品質スコア,11,0.0582108204586041,6,0.007847811561077833,-5
応答速度,7,0.0745161947504292,11,0.0026900922530330718,4
強度（ファイル数）,8,0.0731429000100179,4,0.008296052285004407,-4
最近の活動頻度,10,0.0673302255456958,7,0.007642111857421696,-3
活動トレンド,9,0.0727952259480554,8,0.0064188254764303565,-1
平均活動間隔,3,0.0928363182516265,3,0.010680956183932722,0
