feature,rf_importance,rf_rank,irl_importance_raw,irl_importance_abs,irl_rank
応答速度,0.2660516039286121,1,0.0026900922530330718,0.0026900922530330718,11
総レビュー数,0.2545244507500481,2,0.016513020964339375,0.016513020964339375,1
最近の活動頻度,0.1620644811658735,3,0.007642111857421696,0.007642111857421696,7
経験日数,0.0928001440552796,4,-0.0026305208884878084,0.0026305208884878084,12
平均活動間隔,0.0659501020591494,5,-0.010680956183932722,0.010680956183932722,3
最近の受諾率,0.042014830549024,6,-0.00011300397454760969,0.00011300397454760969,14
強度（ファイル数）,0.0411883491654851,7,0.008296052285004407,0.008296052285004407,4
レビュー負荷,0.0370589491200572,8,0.0010542691743467003,0.0010542691743467003,13
レビュー規模（行数）,0.0351637139151412,9,-0.003400395144126378,0.003400395144126378,10
活動トレンド,0.0031833752913293,10,-0.0064188254764303565,0.0064188254764303565,8
総コミット数,0.0,11,0.007953135354910046,0.007953135354910046,5
協力スコア,0.0,12,0.004114681854844093,0.004114681854844093,9
コード品質スコア,0.0,13,-0.007847811561077833,0.007847811561077833,6
協力度,0.0,14,0.013101510470733047,0.013101510470733047,2
