Pattern,Train,Eval,F1,AUC-ROC,AUC-PR,Precision,Recall,Threshold,Positive,Negative,Total
0-3m→0-3m,0-3m,0-3m,0.9051094890510949,0.698993658671078,0.9134257985654622,0.8266666666666667,1.0,0.2414953112602234,186,39,225
0-3m→3-6m,0-3m,3-6m,0.8920454545454546,0.6765839758632249,0.9027169404125156,0.8051282051282052,1.0,0.19861629605293274,157,38,195
0-3m→6-9m,0-3m,6-9m,0.9495548961424333,0.6599264705882353,0.9411992939153131,0.903954802259887,1.0,0.2657170593738556,160,17,177
0-3m→9-12m,0-3m,9-12m,0.8775510204081632,0.5564168819982773,0.7957757972177847,0.7818181818181819,1.0,0.26936009526252747,129,36,165
3-6m→3-6m,3-6m,3-6m,0.898876404494382,0.7066722972972972,0.9138749154129362,0.8163265306122449,1.0,0.2412397265434265,160,37,197
3-6m→6-9m,3-6m,6-9m,0.9455587392550143,0.6947368421052632,0.9380098021927171,0.8967391304347826,1.0,0.26479506492614746,165,19,184
3-6m→9-12m,3-6m,9-12m,0.88,0.601010101010101,0.8334109619135835,0.7857142857142857,1.0,0.2566920220851898,132,36,168
6-9m→6-9m,6-9m,6-9m,0.9482758620689655,0.703030303030303,0.9406743616606041,0.9016393442622951,1.0,0.16285964846611023,165,18,183
6-9m→9-12m,6-9m,9-12m,0.8811188811188811,0.6610644257703081,0.846303216571686,0.7875,1.0,0.18149591982364655,126,34,160
9-12m→9-12m,9-12m,9-12m,0.8791946308724832,0.6540500424088211,0.85964045249182,0.7844311377245509,1.0,0.18855515122413635,131,36,167
