Platform,Pattern,Threshold,precision,recall,f1,auc_roc,auc_pr,positive_count,negative_count,total_count
OpenStack-50proj,0-3m→0-3m,0.5920369029045105,0.8830409356725146,0.8118279569892473,0.84593837535014,0.698993658671078,0.9138384359680748,186,39,225
OpenStack-50proj,0-3m→3-6m,0.5946633219718933,0.86,0.821656050955414,0.8403908794788274,0.6765839758632249,0.9031554630247183,157,38,195
OpenStack-50proj,0-3m→6-9m,0.6077155470848083,0.9236111111111112,0.83125,0.875,0.6599264705882353,0.9418109018680536,160,17,177
OpenStack-50proj,0-3m→9-12m,0.555392861366272,0.8106060606060606,0.8294573643410853,0.8199233716475096,0.5564168819982773,0.8012149423727766,129,36,165
OpenStack-50proj,3-6m→3-6m,0.3748499453067779,0.8648648648648649,0.8,0.8311688311688312,0.7066722972972972,0.9142908349363276,160,37,197
OpenStack-50proj,3-6m→6-9m,0.3768503367900848,0.9241379310344827,0.8121212121212121,0.864516129032258,0.6947368421052632,0.9396474248607118,165,19,184
OpenStack-50proj,3-6m→9-12m,0.3985701501369476,0.8091603053435115,0.803030303030303,0.8060836501901141,0.601010101010101,0.8380342056288892,132,36,168
OpenStack-50proj,6-9m→6-9m,0.3488039076328277,0.934640522875817,0.8666666666666667,0.89937106918239,0.703030303030303,0.9423035803126742,165,18,183
OpenStack-50proj,6-9m→9-12m,0.4041078388690948,0.8296296296296296,0.8888888888888888,0.8582375478927203,0.6610644257703081,0.8511663727954013,126,34,160
OpenStack-50proj,9-12m→9-12m,0.3197176158428192,0.848,0.8091603053435115,0.828125,0.6540500424088211,0.8611856737211991,131,36,167
Android,0-3m→0-3m,0.1056955456733703,0.8705035971223022,1.0,0.9307692307692308,0.39348025711662077,0.8613749662810412,121,18,139
Android,0-3m→3-6m,0.2809084057807922,0.8811881188118812,0.839622641509434,0.8599033816425121,0.6409544950055494,0.9282742123662528,106,17,123
Android,0-3m→6-9m,0.0750158578157424,0.8547008547008547,0.9803921568627451,0.91324200913242,0.38507625272331153,0.8310348958300047,102,18,120
Android,0-3m→9-12m,0.30952188372612,0.8352941176470589,0.8160919540229885,0.8255813953488372,0.6079182630906769,0.9061536265828871,87,18,105
Android,3-6m→3-6m,0.2076385468244552,0.8785046728971962,0.8703703703703703,0.8744186046511628,0.6938997821350763,0.9388173395879461,108,17,125
Android,3-6m→6-9m,0.224980890750885,0.8947368421052632,0.8095238095238095,0.85,0.6066137566137567,0.8950511589977646,105,18,123
Android,3-6m→9-12m,0.21802619099617,0.8876404494382022,0.8681318681318682,0.8777777777777778,0.6987718164188752,0.9235388488720735,91,17,108
Android,6-9m→6-9m,0.2815470099449157,0.9067796610169492,0.9469026548672567,0.9264069264069265,0.6713021491782554,0.9474563108168574,113,14,127
Android,6-9m→9-12m,0.2957600653171539,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.6699346405228759,0.953173096209861,102,12,114
Android,9-12m→9-12m,0.1768178343772888,0.8424657534246576,0.9761904761904762,0.9044117647058824,0.6706349206349207,0.9291961327905234,126,24,150
Chromium,0-3m→0-3m,0.0720987245440483,0.9056603773584906,1.0,0.9504950495049505,0.2791666666666667,0.8631263863296009,48,5,53
Chromium,0-3m→3-6m,0.1289693564176559,1.0,1.0,1.0,0.0,0.0,42,0,42
Chromium,0-3m→6-9m,0.1495259404182434,0.8627450980392157,1.0,0.9263157894736842,0.45779220779220786,0.8493944947451293,44,7,51
Chromium,0-3m→9-12m,0.1716183125972747,0.9384615384615385,1.0,0.9682539682539683,0.6147540983606558,0.9699381597234038,61,4,65
Chromium,3-6m→3-6m,0.1576022505760193,1.0,1.0,1.0,0.0,0.0,42,0,42
Chromium,3-6m→6-9m,0.0773572772741317,0.8461538461538461,1.0,0.9166666666666666,0.3181818181818182,0.7386137988071054,44,9,53
Chromium,3-6m→9-12m,0.1235215440392494,0.9692307692307692,1.0,0.984375,0.21428571428571427,0.9517421472147547,63,2,65
Chromium,6-9m→6-9m,0.0229979269206523,0.9148936170212766,0.9347826086956522,0.9247311827956989,0.5652173913043479,0.938820899768168,46,5,51
Chromium,6-9m→9-12m,0.0438398085534572,0.9464285714285714,1.0,0.9724770642201835,0.4716981132075472,0.9574659234045467,53,3,56
Chromium,9-12m→9-12m,0.1734665483236313,0.9523809523809523,1.0,0.975609756097561,0.2944444444444444,0.944606234674008,60,3,63
Qt,0-3m→0-3m,0.1984367370605468,0.65625,0.8076923076923077,0.7241379310344828,0.5534188034188035,0.6781245958114643,26,18,44
Qt,0-3m→3-6m,0.1787407845258712,0.68,0.8095238095238095,0.7391304347826086,0.6222222222222222,0.671320809591522,21,15,36
Qt,0-3m→6-9m,0.0797369852662086,0.7666666666666667,0.92,0.8363636363636363,0.45333333333333337,0.7241870109309478,25,9,34
Qt,0-3m→9-12m,0.1098548769950866,0.8235294117647058,0.9655172413793104,0.8888888888888888,0.5747126436781609,0.8244118605570419,29,9,38
Qt,3-6m→3-6m,0.010861862450838,0.5789473684210527,1.0,0.7333333333333333,0.32102272727272724,0.5125076277035966,22,16,38
Qt,3-6m→6-9m,0.0086786029860377,0.7317073170731707,1.0,0.8450704225352113,0.3727272727272727,0.682726191073266,30,11,41
Qt,3-6m→9-12m,0.0301308128982782,0.725,0.9666666666666667,0.8285714285714286,0.4538461538461539,0.7201860685096309,30,13,43
Qt,6-9m→6-9m,0.3199944198131561,0.7714285714285715,0.9310344827586207,0.84375,0.5708812260536399,0.8585547364396151,29,9,38
Qt,6-9m→9-12m,0.3704748749732971,0.8235294117647058,0.9032258064516129,0.8615384615384616,0.6209677419354839,0.8814405348675682,31,8,39
Qt,9-12m→9-12m,0.0658081769943237,0.725,1.0,0.8405797101449275,0.2771883289124668,0.5759926824912918,29,13,42
