Platform,Pattern,Threshold,precision,recall,f1,auc_roc,auc_pr,positive_count,negative_count,total_count
OpenStack-50proj,0-3m→0-3m,0.6497200131416321,0.9032258064516129,0.7526881720430108,0.8211143695014663,0.698993658671078,0.9138384359680748,186,39,225
OpenStack-50proj,0-3m→3-6m,0.836366593837738,0.98,0.31210191082802546,0.47342995169082125,0.6765839758632249,0.9031554630247183,157,38,195
OpenStack-50proj,0-3m→6-9m,0.6848434805870056,0.9457364341085271,0.7625,0.8442906574394463,0.6599264705882353,0.9418109018680536,160,17,177
OpenStack-50proj,0-3m→9-12m,0.8435172438621521,0.8703703703703703,0.3643410852713178,0.5136612021857924,0.5564168819982773,0.8012149423727766,129,36,165
OpenStack-50proj,3-6m→3-6m,0.5163673162460327,0.9065420560747663,0.60625,0.7265917602996255,0.7066722972972972,0.9142908349363276,160,37,197
OpenStack-50proj,3-6m→6-9m,0.415159523487091,0.9448818897637795,0.7272727272727273,0.821917808219178,0.6947368421052632,0.9396474248607118,165,19,184
OpenStack-50proj,3-6m→9-12m,0.589487612247467,0.8588235294117647,0.553030303030303,0.6728110599078341,0.601010101010101,0.8380342056288892,132,36,168
OpenStack-50proj,6-9m→6-9m,0.6344009041786194,0.9557522123893806,0.6545454545454545,0.7769784172661871,0.703030303030303,0.9423035803126742,165,18,183
OpenStack-50proj,6-9m→9-12m,0.6565051078796387,0.8817204301075269,0.6507936507936508,0.7488584474885844,0.6610644257703081,0.8511663727954013,126,34,160
OpenStack-50proj,9-12m→9-12m,0.3846820592880249,0.8611111111111112,0.7099236641221374,0.7782426778242678,0.6540500424088211,0.8611856737211991,131,36,167
Android,0-3m→0-3m,0.3480783104896545,0.9473684210526315,0.1487603305785124,0.2571428571428571,0.39348025711662077,0.8613749662810412,121,18,139
Android,0-3m→3-6m,0.3400090038776397,0.9375,0.5660377358490566,0.7058823529411765,0.6409544950055494,0.9282742123662528,106,17,123
Android,0-3m→6-9m,0.3630922138690948,0.9375,0.14705882352941177,0.2542372881355932,0.38507625272331153,0.8310348958300047,102,18,120
Android,0-3m→9-12m,0.4121988713741302,0.9487179487179487,0.42528735632183906,0.5873015873015873,0.6079182630906769,0.9061536265828871,87,18,105
Android,3-6m→3-6m,0.3070211112499237,0.9466666666666667,0.6574074074074074,0.7759562841530054,0.6938997821350763,0.9388173395879461,108,17,125
Android,3-6m→6-9m,0.224980890750885,0.8947368421052632,0.8095238095238095,0.85,0.6066137566137567,0.8950511589977646,105,18,123
Android,3-6m→9-12m,0.299641877412796,0.9230769230769231,0.6593406593406593,0.7692307692307693,0.6987718164188752,0.9235388488720735,91,17,108
Android,6-9m→6-9m,0.4164345264434814,0.9807692307692307,0.45132743362831856,0.6181818181818182,0.6713021491782554,0.9474563108168574,113,14,127
Android,6-9m→9-12m,0.3998178243637085,0.9795918367346939,0.47058823529411764,0.6357615894039735,0.6699346405228759,0.953173096209861,102,12,114
Android,9-12m→9-12m,0.4020827710628509,0.9838709677419355,0.48412698412698413,0.648936170212766,0.6706349206349207,0.9291961327905234,126,24,150
Chromium,0-3m→0-3m,0.3989867866039276,1.0,0.041666666666666664,0.08,0.2791666666666667,0.8631263863296009,48,5,53
Chromium,0-3m→3-6m,inf,0.0,0.0,0.0,0.0,0.0,42,0,42
Chromium,0-3m→6-9m,0.3183777630329132,0.9259259259259259,0.5681818181818182,0.704225352112676,0.45779220779220786,0.8493944947451293,44,7,51
Chromium,0-3m→9-12m,0.3600364923477173,1.0,0.5245901639344263,0.6881720430107527,0.6147540983606558,0.9699381597234038,61,4,65
Chromium,3-6m→3-6m,inf,0.0,0.0,0.0,0.0,0.0,42,0,42
Chromium,3-6m→6-9m,0.0773572772741317,0.8461538461538461,1.0,0.9166666666666666,0.3181818181818182,0.7386137988071054,44,9,53
Chromium,3-6m→9-12m,0.4055980443954468,1.0,0.1111111111111111,0.2,0.21428571428571427,0.9517421472147547,63,2,65
Chromium,6-9m→6-9m,0.3612072765827179,1.0,0.32608695652173914,0.4918032786885246,0.5652173913043479,0.938820899768168,46,5,51
Chromium,6-9m→9-12m,0.3620928227901459,1.0,0.2830188679245283,0.4411764705882353,0.4716981132075472,0.9574659234045467,53,3,56
Chromium,9-12m→9-12m,0.3921478986740112,1.0,0.26666666666666666,0.42105263157894735,0.2944444444444444,0.944606234674008,60,3,63
Qt,0-3m→0-3m,0.1984367370605468,0.65625,0.8076923076923077,0.7241379310344828,0.5534188034188035,0.6781245958114643,26,18,44
Qt,0-3m→3-6m,0.1927076578140258,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.6222222222222222,0.671320809591522,21,15,36
Qt,0-3m→6-9m,0.0797369852662086,0.7666666666666667,0.92,0.8363636363636363,0.45333333333333337,0.7241870109309478,25,9,34
Qt,0-3m→9-12m,0.1098548769950866,0.8235294117647058,0.9655172413793104,0.8888888888888888,0.5747126436781609,0.8244118605570419,29,9,38
Qt,3-6m→3-6m,0.4039383232593536,1.0,0.045454545454545456,0.08695652173913043,0.32102272727272724,0.5125076277035966,22,16,38
Qt,3-6m→6-9m,0.3933376371860504,1.0,0.03333333333333333,0.06451612903225806,0.3727272727272727,0.682726191073266,30,11,41
Qt,3-6m→9-12m,0.3717328310012817,1.0,0.13333333333333333,0.23529411764705882,0.4538461538461539,0.7201860685096309,30,13,43
Qt,6-9m→6-9m,0.4205542802810669,0.9375,0.5172413793103449,0.6666666666666666,0.5708812260536399,0.8585547364396151,29,9,38
Qt,6-9m→9-12m,0.4016812443733215,0.875,0.6774193548387096,0.7636363636363637,0.6209677419354839,0.8814405348675682,31,8,39
Qt,9-12m→9-12m,0.0658081769943237,0.725,1.0,0.8405797101449275,0.2771883289124668,0.5759926824912918,29,13,42
