pattern,f1_RF,auc_roc_RF,precision_RF,recall_RF,f1_IRL,auc_roc_IRL,precision_IRL,recall_IRL
0-3m → 0-3m,1.0,1.0,1.0,1.0,0,0,0,0
0-3m → 3-6m,0.6666666666666666,0.839527027027027,0.6,0.75,0,0,0,0
0-3m → 6-9m,0.7428571428571429,0.9592592592592593,0.65,0.8666666666666667,0,0,0,0
0-3m → 9-12m,0.7878787878787878,0.9488888888888889,0.7222222222222222,0.8666666666666667,0,0,0,0
3-6m → 3-6m,1.0,1.0,1.0,1.0,0,0,0,0
3-6m → 6-9m,0.6486486486486487,0.8116776315789473,0.6666666666666666,0.631578947368421,0,0,0,0
3-6m → 9-12m,0.6875,0.875,0.6875,0.6875,0,0,0,0
6-9m → 6-9m,1.0,1.0,1.0,1.0,0,0,0,0
6-9m → 9-12m,0.7441860465116279,0.893984962406015,0.6666666666666666,0.8421052631578947,0,0,0,0
9-12m → 9-12m,1.0,1.0,1.0,1.0,0,0,0,0
