project,train_period,eval_period,total_developers,continuing_developers,dropout_developers,developer_continuation_rate,avg_history_acceptance_rate,median_history_acceptance_rate,std_history_acceptance_rate,avg_eval_acceptance_rate,median_eval_acceptance_rate,std_eval_acceptance_rate,total_eval_requests,total_eval_accepted,total_eval_rejected,overall_eval_acceptance_rate
Android,9-12m,9-12m,150,126,24,0.84,0.4931493189972931,0.6125,0.41067821229238083,0.5953655227607044,0.6666666666666666,0.3425093821071726,2707,1859,848,0.6867380864425563
Android,6-9m,9-12m,114,102,12,0.8947368421052632,0.652290678594818,0.75,0.37040265418759827,0.6429820452159779,0.6915760869565217,0.3125652315494339,2589,1789,800,0.6910003862495172
Android,6-9m,6-9m,127,113,14,0.889763779527559,0.6545683856602904,0.75,0.37752638284945383,0.6241837133680299,0.6666666666666666,0.3203496434093463,3365,2128,1237,0.6323922734026746
Android,0-3m,9-12m,105,87,18,0.8285714285714286,0.5716900625381821,0.6666666666666666,0.3829009153318826,0.5816466414245357,0.6470588235294118,0.3485114975111805,2032,1396,636,0.687007874015748
Android,0-3m,6-9m,120,102,18,0.85,0.585616981359086,0.6862745098039216,0.3898782579417048,0.5798807516225486,0.6233108108108107,0.33185886906133555,2749,1711,1038,0.6224081484176064
Android,0-3m,3-6m,123,106,17,0.8617886178861789,0.5478725485965531,0.6363636363636364,0.38343473086273466,0.5544147051151977,0.6190476190476191,0.326648568410554,3054,1747,1307,0.5720366732154551
Android,0-3m,0-3m,139,121,18,0.8705035971223022,0.5708167439963407,0.6666666666666666,0.3909059436290912,0.5830202587040606,0.6097560975609756,0.3232725812815488,3011,1778,1233,0.590501494520093
Android,3-6m,9-12m,108,91,17,0.8425925925925926,0.5872325388941585,0.6666666666666666,0.36851303122533424,0.597859049795267,0.6583333333333333,0.3376869516090421,1939,1293,646,0.666838576585869
Android,3-6m,6-9m,123,105,18,0.8536585365853658,0.6214776351317403,0.7142857142857143,0.37248365420808127,0.5672989657787377,0.5714285714285714,0.33025971911631496,2622,1614,1008,0.6155606407322655
Android,3-6m,3-6m,125,108,17,0.864,0.6370197072553467,0.75,0.37045872011913966,0.5833293843540904,0.6666666666666666,0.32498942132082165,3129,1848,1281,0.5906040268456376
