project,train_period,eval_period,total_developers,continuing_developers,dropout_developers,developer_continuation_rate,avg_history_acceptance_rate,median_history_acceptance_rate,std_history_acceptance_rate,avg_eval_acceptance_rate,median_eval_acceptance_rate,std_eval_acceptance_rate,total_eval_requests,total_eval_accepted,total_eval_rejected,overall_eval_acceptance_rate
OpenStack,9-12m,9-12m,138,111,27,0.8043478260869565,0.49476251991698217,0.502808988764045,0.28207745181235655,0.5945554512097531,0.721111111111111,0.35902969829577425,3250,2515,735,0.7738461538461539
OpenStack,6-9m,9-12m,146,117,29,0.8013698630136986,0.5374241936292952,0.5692963752665245,0.276906931453996,0.613215215737775,0.7459677419354839,0.3674846170145155,3225,2506,719,0.7770542635658915
OpenStack,6-9m,6-9m,162,149,13,0.9197530864197531,0.5240930517667926,0.5555555555555556,0.2861203516138233,0.5834791051559186,0.6409459459459459,0.2866510870910972,6363,4374,1989,0.6874115983026874
OpenStack,0-3m,9-12m,140,110,30,0.7857142857142857,0.5770650482171553,0.6076923076923078,0.2776677769124232,0.592342141132748,0.7247474747474747,0.373629171914998,3142,2419,723,0.7698917886696371
OpenStack,0-3m,6-9m,151,138,13,0.9139072847682119,0.5830779873978825,0.6153846153846154,0.26096467349201724,0.5828605186345095,0.6418918918918919,0.28989933899580644,6268,4301,1967,0.6861837906828334
OpenStack,0-3m,3-6m,167,137,30,0.8203592814371258,0.5761636157403901,0.6,0.2694906410364955,0.5195012943527715,0.6,0.3370345103659624,5948,3967,1981,0.6669468728984532
OpenStack,0-3m,0-3m,185,157,28,0.8486486486486486,0.5689566353888198,0.6,0.28114550330633364,0.5509335190024613,0.5714285714285714,0.3366962609258603,7683,5268,2415,0.6856696602889496
OpenStack,3-6m,9-12m,144,114,30,0.7916666666666666,0.49886742554569685,0.5378787878787878,0.2912887800344058,0.6033162322204455,0.7393887945670627,0.37207562474031697,3091,2395,696,0.7748301520543514
OpenStack,3-6m,6-9m,154,141,13,0.9155844155844156,0.4823773768795231,0.5028735632183908,0.28996860621808757,0.5763493362442726,0.6148148148148148,0.2872424415070373,6213,4256,1957,0.6850152905198776
OpenStack,3-6m,3-6m,171,143,28,0.8362573099415205,0.4770883923741235,0.5057471264367817,0.2988228630316025,0.5252667093783253,0.6,0.3362548745799086,5965,3996,1969,0.669907795473596
