project,train_period,eval_period,total_developers,continuing_developers,dropout_developers,developer_continuation_rate,avg_history_acceptance_rate,median_history_acceptance_rate,std_history_acceptance_rate,avg_eval_acceptance_rate,median_eval_acceptance_rate,std_eval_acceptance_rate,total_eval_requests,total_eval_accepted,total_eval_rejected,overall_eval_acceptance_rate
Qt,9-12m,9-12m,42,29,13,0.6904761904761905,0.45282937961509395,0.5,0.32566976855210766,0.48387696959125526,0.5,0.3911861425833088,158,85,73,0.5379746835443038
Qt,6-9m,9-12m,39,31,8,0.7948717948717948,0.44789099789099796,0.5,0.36237979221767,0.5531495569957108,0.5,0.3622785483928646,159,92,67,0.5786163522012578
Qt,6-9m,6-9m,38,29,9,0.7631578947368421,0.41581795397584864,0.5,0.360140951448548,0.5738408521303258,0.625,0.401393212339339,129,79,50,0.6124031007751938
Qt,0-3m,9-12m,38,29,9,0.7631578947368421,0.41491228070175434,0.3333333333333333,0.39128627250686354,0.532618404986826,0.5,0.3686828360042751,143,79,64,0.5524475524475524
Qt,0-3m,6-9m,34,25,9,0.7352941176470589,0.43186274509803924,0.3333333333333333,0.382054688891552,0.5050770308123249,0.5,0.38357987608557886,123,69,54,0.5609756097560976
Qt,0-3m,3-6m,36,21,15,0.5833333333333334,0.41712962962962963,0.3333333333333333,0.38749267501752843,0.4474607182940516,0.5,0.4272340149774304,105,55,50,0.5238095238095238
Qt,0-3m,0-3m,44,26,18,0.5909090909090909,0.4227272727272727,0.3333333333333333,0.38368017522624187,0.4164231601731601,0.38095238095238093,0.40720644620295104,140,66,74,0.4714285714285714
Qt,3-6m,9-12m,43,30,13,0.6976744186046512,0.42548427025171215,0.5,0.3289805706478459,0.4900658772751796,0.5,0.38692036294578674,159,88,71,0.5534591194968553
Qt,3-6m,6-9m,41,30,11,0.7317073170731707,0.4312570221106806,0.4444444444444444,0.318453901585049,0.5603077816492451,0.6666666666666666,0.41222458765660464,139,82,57,0.5899280575539568
Qt,3-6m,3-6m,38,22,16,0.5789473684210527,0.417809894783579,0.4722222222222222,0.3323208550313515,0.416892610313663,0.4,0.41143135416983073,116,59,57,0.5086206896551724
