auc_roc,auc_pr,optimal_threshold,threshold_source,precision,recall,f1_score,positive_count,negative_count,total_count,project,train_period,eval_period
0.2944444444444444,0.9437692532087455,0.15477092564105988,train_data,0.9523809523809523,1.0,0.975609756097561,60,3,63,Chromium,9-12m,9-12m
0.4716981132075472,0.9567713818272173,0.04383980855345726,train_data,0.9464285714285714,1.0,0.9724770642201835,53,3,56,Chromium,6-9m,9-12m
0.5652173913043479,0.9377837595247359,0.015938062220811844,train_data,0.9019607843137255,1.0,0.9484536082474226,46,5,51,Chromium,6-9m,6-9m
0.6147540983606558,0.9696078299275168,0.15146684646606445,train_data,0.9384615384615385,1.0,0.9682539682539683,61,4,65,Chromium,0-3m,9-12m
0.45779220779220786,0.8371777213180855,0.1416371464729309,train_data,0.8627450980392157,1.0,0.9263157894736842,44,7,51,Chromium,0-3m,6-9m
,1.0,0.12896935641765594,train_data,1.0,1.0,1.0,42,0,42,Chromium,0-3m,3-6m
0.2791666666666667,0.857881193741352,0.07209872454404831,train_data,0.9056603773584906,1.0,0.9504950495049505,48,5,53,Chromium,0-3m,0-3m
0.21428571428571427,0.950225542126721,0.12352154403924942,train_data,0.9692307692307692,1.0,0.984375,63,2,65,Chromium,3-6m,9-12m
0.3181818181818182,0.7235618526610694,0.06379006057977676,train_data,0.8301886792452831,1.0,0.9072164948453608,44,9,53,Chromium,3-6m,6-9m
,1.0,0.1576022505760193,train_data,1.0,1.0,1.0,42,0,42,Chromium,3-6m,3-6m
