project,train_period,auc_roc,f1_score,precision,recall
Android,0-3m,0.5069,0.9204,0.8527,1.0
Android,3-6m,0.6664,0.9209,0.8534,1.0
Android,6-9m,0.6706,0.9431,0.8923,1.0
Android,9-12m,0.6706,0.913,0.84,1.0
Chromium,0-3m,0.4506,0.9613,0.9267,1.0
Chromium,3-6m,0.2662,0.9639,0.9331,1.0
Chromium,6-9m,0.5185,0.9605,0.9242,1.0
Chromium,9-12m,0.2944,0.9756,0.9524,1.0
OpenStack,0-3m,0.5873,0.9163,0.848,0.9984
OpenStack,3-6m,0.604,0.9168,0.8478,1.0
OpenStack,6-9m,0.6942,0.917,0.8622,0.9832
OpenStack,9-12m,0.661,0.8916,0.8043,1.0
Qt,0-3m,0.5509,0.7982,0.6682,1.0
Qt,3-6m,0.3825,0.8001,0.6694,1.0
Qt,6-9m,0.5959,0.8757,0.779,1.0
Qt,9-12m,0.2772,0.8169,0.6905,1.0
