project,train_period,eval_period,total_developers,continuing_developers,dropout_developers,developer_continuation_rate,avg_history_acceptance_rate,median_history_acceptance_rate,std_history_acceptance_rate,avg_eval_acceptance_rate,median_eval_acceptance_rate,std_eval_acceptance_rate,total_eval_requests,total_eval_accepted,total_eval_rejected,overall_eval_acceptance_rate
Qt,9-12m,9-12m,42,29,13,0.6904761904761905,0.45282937961509395,0.5,0.32566976855210766,0.48387696959125526,0.5,0.3911861425833088,158,85,73,0.5379746835443038
Qt,6-9m,9-12m,39,31,8,0.7948717948717948,0.44789099789099796,0.5,0.36237979221767,0.5531495569957108,0.5,0.3622785483928646,159,92,67,0.5786163522012578
Qt,6-9m,6-9m,38,29,9,0.7631578947368421,0.41581795397584864,0.5,0.360140951448548,0.5738408521303258,0.625,0.401393212339339,129,79,50,0.6124031007751938
Qt,0-3m,9-12m,38,29,9,0.7631578947368421,0.41491228070175434,0.3333333333333333,0.39128627250686354,0.532618404986826,0.5,0.3686828360042751,143,79,64,0.5524475524475524
Qt,0-3m,6-9m,34,25,9,0.7352941176470589,0.43186274509803924,0.3333333333333333,0.382054688891552,0.5050770308123249,0.5,0.38357987608557886,123,69,54,0.5609756097560976
Qt,0-3m,3-6m,36,21,15,0.5833333333333334,0.41712962962962963,0.3333333333333333,0.38749267501752843,0.4474607182940516,0.5,0.4272340149774304,105,55,50,0.5238095238095238
Qt,0-3m,0-3m,44,26,18,0.5909090909090909,0.4227272727272727,0.3333333333333333,0.38368017522624187,0.4164231601731601,0.38095238095238093,0.40720644620295104,140,66,74,0.4714285714285714
Qt,3-6m,9-12m,43,30,13,0.6976744186046512,0.42548427025171215,0.5,0.3289805706478459,0.4900658772751796,0.5,0.38692036294578674,159,88,71,0.5534591194968553
Qt,3-6m,6-9m,41,30,11,0.7317073170731707,0.4312570221106806,0.4444444444444444,0.318453901585049,0.5603077816492451,0.6666666666666666,0.41222458765660464,139,82,57,0.5899280575539568
Qt,3-6m,3-6m,38,22,16,0.5789473684210527,0.417809894783579,0.4722222222222222,0.3323208550313515,0.416892610313663,0.4,0.41143135416983073,116,59,57,0.5086206896551724
Android,9-12m,9-12m,150,126,24,0.84,0.4931493189972931,0.6125,0.41067821229238083,0.5953655227607044,0.6666666666666666,0.3425093821071726,2707,1859,848,0.6867380864425563
Android,6-9m,9-12m,114,102,12,0.8947368421052632,0.652290678594818,0.75,0.37040265418759827,0.6429820452159779,0.6915760869565217,0.3125652315494339,2589,1789,800,0.6910003862495172
Android,6-9m,6-9m,127,113,14,0.889763779527559,0.6545683856602904,0.75,0.37752638284945383,0.6241837133680299,0.6666666666666666,0.3203496434093463,3365,2128,1237,0.6323922734026746
Android,0-3m,9-12m,105,87,18,0.8285714285714286,0.5716900625381821,0.6666666666666666,0.3829009153318826,0.5816466414245357,0.6470588235294118,0.3485114975111805,2032,1396,636,0.687007874015748
Android,0-3m,6-9m,120,102,18,0.85,0.585616981359086,0.6862745098039216,0.3898782579417048,0.5798807516225486,0.6233108108108107,0.33185886906133555,2749,1711,1038,0.6224081484176064
Android,0-3m,3-6m,123,106,17,0.8617886178861789,0.5478725485965531,0.6363636363636364,0.38343473086273466,0.5544147051151977,0.6190476190476191,0.326648568410554,3054,1747,1307,0.5720366732154551
Android,0-3m,0-3m,139,121,18,0.8705035971223022,0.5708167439963407,0.6666666666666666,0.3909059436290912,0.5830202587040606,0.6097560975609756,0.3232725812815488,3011,1778,1233,0.590501494520093
Android,3-6m,9-12m,108,91,17,0.8425925925925926,0.5872325388941585,0.6666666666666666,0.36851303122533424,0.597859049795267,0.6583333333333333,0.3376869516090421,1939,1293,646,0.666838576585869
Android,3-6m,6-9m,123,105,18,0.8536585365853658,0.6214776351317403,0.7142857142857143,0.37248365420808127,0.5672989657787377,0.5714285714285714,0.33025971911631496,2622,1614,1008,0.6155606407322655
Android,3-6m,3-6m,125,108,17,0.864,0.6370197072553467,0.75,0.37045872011913966,0.5833293843540904,0.6666666666666666,0.32498942132082165,3129,1848,1281,0.5906040268456376
Chromium,9-12m,9-12m,63,60,3,0.9523809523809523,0.756976887699614,0.9142857142857144,0.34140459947762297,0.7860906205939048,0.8571428571428571,0.2705808731343199,638,497,141,0.7789968652037618
Chromium,6-9m,9-12m,56,53,3,0.9464285714285714,0.6920876189564432,0.8677325581395349,0.3792184323980859,0.7420434630025147,0.8333333333333334,0.2818444446386495,643,496,147,0.7713841368584758
Chromium,6-9m,6-9m,51,46,5,0.9019607843137255,0.7165139211006358,0.875,0.3599015171515467,0.6733754869292258,0.7567567567567568,0.30971310552220516,608,432,176,0.7105263157894737
Chromium,0-3m,9-12m,65,61,4,0.9384615384615385,0.7831191860370084,1.0,0.31548225714943573,0.7713887623982802,0.8571428571428571,0.2870678720640522,721,576,145,0.7988904299583911
Chromium,0-3m,6-9m,51,44,7,0.8627450980392157,0.753983779067722,0.9090909090909092,0.31850297192548926,0.6814312770283596,0.8,0.3470620772057051,506,366,140,0.7233201581027668
Chromium,0-3m,3-6m,42,42,0,1.0,0.7525297889412433,0.857843137254902,0.3127831560269394,0.804075836767207,0.8571428571428571,0.2152787891490416,577,450,127,0.779896013864818
Chromium,0-3m,0-3m,53,48,5,0.9056603773584906,0.679953362109609,0.7978723404255319,0.3496981140280284,0.734574229554014,0.8333333333333334,0.31672098080433364,567,420,147,0.7407407407407407
Chromium,3-6m,9-12m,65,63,2,0.9692307692307692,0.7499844451843828,0.8666666666666667,0.32659195095141325,0.7706244315660761,0.8333333333333334,0.25179861277779997,666,512,154,0.7687687687687688
Chromium,3-6m,6-9m,53,44,9,0.8301886792452831,0.7402911548975799,0.8333333333333334,0.3115062010371883,0.6415328441977626,0.7567567567567568,0.3519656424044557,574,414,160,0.7212543554006968
Chromium,3-6m,3-6m,42,42,0,1.0,0.7531671802623217,0.806910569105691,0.27179033981088735,0.7818536145449846,0.8121693121693121,0.21711552346408344,611,475,136,0.7774140752864157
OpenStack,9-12m,9-12m,138,111,27,0.8043478260869565,0.49476251991698217,0.502808988764045,0.28207745181235655,0.5945554512097531,0.721111111111111,0.35902969829577425,3250,2515,735,0.7738461538461539
OpenStack,6-9m,9-12m,146,117,29,0.8013698630136986,0.5374241936292952,0.5692963752665245,0.276906931453996,0.613215215737775,0.7459677419354839,0.3674846170145155,3225,2506,719,0.7770542635658915
OpenStack,6-9m,6-9m,162,149,13,0.9197530864197531,0.5240930517667926,0.5555555555555556,0.2861203516138233,0.5834791051559186,0.6409459459459459,0.2866510870910972,6363,4374,1989,0.6874115983026874
OpenStack,0-3m,9-12m,140,110,30,0.7857142857142857,0.5770650482171553,0.6076923076923078,0.2776677769124232,0.592342141132748,0.7247474747474747,0.373629171914998,3142,2419,723,0.7698917886696371
OpenStack,0-3m,6-9m,151,138,13,0.9139072847682119,0.5830779873978825,0.6153846153846154,0.26096467349201724,0.5828605186345095,0.6418918918918919,0.28989933899580644,6268,4301,1967,0.6861837906828334
OpenStack,0-3m,3-6m,167,137,30,0.8203592814371258,0.5761636157403901,0.6,0.2694906410364955,0.5195012943527715,0.6,0.3370345103659624,5948,3967,1981,0.6669468728984532
OpenStack,0-3m,0-3m,185,157,28,0.8486486486486486,0.5689566353888198,0.6,0.28114550330633364,0.5509335190024613,0.5714285714285714,0.3366962609258603,7683,5268,2415,0.6856696602889496
